date,transect_id,10m_v_component_of_wind,10m_u_component_of_wind,significant_height_of_combined_wind_waves_and_swell,mean_wave_period,slope_m_per_m,Bathymetry,transect_angle,island_orientation,shoreline_orientation,orientation_diff,area_m2,perimeter_m,compactness,NDVI,longitude,latitude,reef_width_m,reef_slope_deg,reef_crest_elevation_m,reef_flat_mean_depth_m,shoreline_pos,month,is_northeast_monsoon
2016-01-03,T1,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.075,-4.558505,0.0,177.92584967556778,174.1407994014379,174.1407994014379,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89541274657286,5.248593647282801,160.8671155498974,1.7307162113611696,0.16684231,-1.8560101115657175,79.11937281272515,1,0
2016-01-03,T10,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.075,-4.293313,170.52631578947367,177.92584967556778,15.736536912879243,154.78977887659445,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89153523511973,5.248916926476396,270.9465378839344,0.9363064617679788,0.16684231,-2.512301188878101,87.87687850006326,1,0
2016-01-03,T11,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.05,-4.9872875,189.4736842105263,177.92584967556778,81.14762730765943,108.32605690286688,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89161101011884,5.248256770480426,269.12354398418,1.1082303626071095,0.16684231,-2.0037482576985743,46.90721250406184,1,0
2016-01-03,T12,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.0,-3.7876153,208.42105263157893,177.92584967556778,176.828897879594,31.592154751984936,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89240014551586,5.247960128490924,198.08097383971523,1.1052164854523836,0.16684231,-1.7269401460079996,44.62297200733902,1,0
2016-01-03,T13,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-4.6527987,227.36842105263156,177.92584967556778,168.24978027044526,59.118640782186304,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89292369754412,5.24790391757176,153.3453575575199,1.739121124190026,0.16684231,-1.612521532494493,49.64259405227709,1,0
2016-01-03,T14,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-4.7215905,246.3157894736842,177.92584967556778,7.5220659542850115,121.20627648060082,54128.418437431355,1045.242032721192,1.6061959627130546,,72.8932704747605,5.247949387259578,122.64902688369564,2.1835941542923467,0.16684231,-1.003372394865588,51.30440353837278,1,0
2016-01-03,T15,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-4.2790313,265.2631578947368,177.92584967556778,2.121456770912914,96.8582988761761,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89349724192321,5.247958760781857,107.44188638641502,1.8887247221587011,0.16684231,-0.4730076403606865,50.84749134700067,1,0
2016-01-03,T16,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-3.2238078,284.2105263157895,177.92584967556778,5.967392640634699,81.75686632484519,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89371798629264,5.2479202303506955,101.75934298923455,1.9197211987379617,0.16684231,-0.4851327686124128,50.34323827860012,1,0
2016-01-03,T17,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.05,-5.1280036,303.1578947368421,177.92584967556778,0.6179402592436531,57.46004552240157,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89411806807477,5.24771764188949,121.05427789742916,2.40959271765017,0.16684231,-1.882211519857244,48.755860108161194,1,0
2016-01-03,T18,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.0222222222222222,-4.8907003,322.1052631578947,177.92584967556778,2.9241392893321745,40.81887613143749,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89467855114154,5.247710637034402,143.69476044462215,2.0252427290149724,0.16684231,-1.8652282001273743,60.04361206692254,1,0
2016-01-03,T19,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-4.3678513,341.05263157894734,177.92584967556778,166.21997403204412,174.83265754690322,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89512644224517,5.24804977088259,152.2638501740175,1.522353283806677,0.16684231,-1.180389673396643,68.51723640607246,1,0
2016-01-03,T2,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.075,-6.5129952,18.94736842105263,177.92584967556778,119.54445965950308,100.59709123845045,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89528484620243,5.2491919601417205,151.25286524952847,2.7165248197946714,0.16684231,-3.595928478319001,91.24812589083008,1,0
2016-01-03,T3,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-5.002036,37.89473684210526,177.92584967556778,165.11520908519222,127.22047224308696,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89442060213878,5.249273665594256,71.6155568882589,4.210975333549111,0.16684231,-2.575107464574826,80.61583473415234,1,0
2016-01-03,T4,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.05,-4.676488,56.84210526315789,177.92584967556778,171.3573197791129,114.51521451595502,54128.418437431355,1045.242032721192,1.6061959627130546,,72.8940183531116,5.249315815152657,56.88308299926829,4.799806960699505,0.16684231,-2.8827313230299687,89.38426650731677,1,0
2016-01-03,T5,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-4.9201374,75.78947368421052,177.92584967556778,170.79076274957484,95.00128906536432,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89372410701134,5.2492981946056,61.49408068148481,4.65498482421617,0.16684231,-2.5659601106485774,85.52723584798423,1,0
2016-01-03,T6,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,-4.603407,94.73684210526316,177.92584967556778,177.20459068543397,82.46774858017082,54128.418437431355,1045.242032721192,1.6061959627130546,,72.89349308908284,5.249214839468408,70.33812796752518,3.738334544506397,0.16684231,-2.480998235883441,86.77086310592047,1,0
