date,10m_v_component_of_wind,10m_u_component_of_wind,significant_height_of_combined_wind_waves_and_swell,mean_wave_period,slope_m_per_m,island_orientation,NDVI,longitude,latitude,reef_width_m,reef_slope_deg,reef_crest_elevation_m,reef_flat_mean_depth_m,shoreline_pos,month,is_northeast_monsoon
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.075,177.92584967556778,-0.3195742240973881,72.89543736467495,5.248412765050122,167.57493961102466,1.8763799426079468,0.16684231,-1.6950066456396895,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.075,177.92584967556778,-0.3195742240973881,72.8915343318418,5.2488009825064355,270.75436070301583,0.6885957526828116,0.16684231,-2.09005201194384,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.05,177.92584967556778,-0.3195742240973881,72.89184562932535,5.248254705083988,243.9051154452245,1.1442163944630594,0.16684231,-1.781535113550562,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.0,177.92584967556778,-0.3195742240973881,72.8924440279347,5.24809742216533,186.97372973697497,0.8946179302135713,0.16684231,-1.5461007676488043,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,177.92584967556778,-0.3195742240973881,72.89294684585842,5.2480225414912605,143.12771995686998,1.3211855979981368,0.16684231,-1.3153527782440886,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,177.92584967556778,-0.3195742240973881,72.89323177089561,5.2479772186402425,123.13155582036065,2.068687505734142,0.16684231,-1.0499643312238052,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,177.92584967556778,-0.3195742240973881,72.8934704430479,5.247966342882699,108.22445927824224,1.8510466074765537,0.16684231,-0.4737379165179877,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.025,177.92584967556778,-0.3195742240973881,72.89370382313943,5.247988398335648,95.03871433017376,1.0181925006411474,0.16684231,-0.2617714222863697,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.05,177.92584967556778,-0.3195742240973881,72.89402997606243,5.247942783152602,95.32204529435718,2.1532743606494686,0.16684231,-0.9893767079581136,0.0,1,0
2016-01-03,-4.655213356018066,-6.340646743774414,1.2062368392944336,5.206659317016602,0.0222222222222222,177.92584967556778,-0.3195742240973881,72.8944801133358,5.247792770921812,124.8883569636868,2.278859278701581,0.16684231,-1.7212055984360246,0.0,1,0
